seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Centre-ville - Victor Hugo,38000,3,avant 1946,11.286939354417566,13.582585805890087,7.891292902945043,0.7978232257362609,12.084762580153825,14.482585805890087,8.489116128681305
Championnet-Caserne de Bonne,38000,3,avant 1946,11.294027276099277,13.59203636813237,7.896018184066185,0.7990045460165461,12.093031822115822,14.49203636813237,8.49502273008273
Hoche,38000,3,avant 1946,10.707509720685145,12.810012960913529,7.505006480456764,0.7012516201141912,11.408761340799337,13.710012960913527,8.006258100570955
Ile Verte,38000,3,avant 1946,11.29134976096948,13.588466347959304,7.894233173979653,0.7991496821677467,12.090499443137224,14.489649125304972,8.4933828561474
Mutualité,38000,3,avant 1946,11.292567314943556,13.590089753258074,7.895044876629038,0.7988653763589666,12.091432691302522,14.49029806766149,8.493910252988004
Préfecture,38000,3,avant 1946,11.294157202385929,13.592209603181237,7.896104801590619,0.7990262003976547,12.093183402783582,14.492209603181237,8.495131001988273
Saint Laurent,38000,3,avant 1946,10.711135974879136,12.814847966505518,7.5074239832527585,0.703106517391577,11.414242492270715,13.717349009662291,8.010530500644334
Abbaye,38100,3,avant 1946,10.710228860776608,12.813638481035479,7.506819240517739,0.7030848304807615,11.413313691257372,13.71639852173813,8.0099040709985
Abry,38100,3,avant 1946,10.705036259164322,12.806715012219097,7.503357506109548,0.701678753054774,11.406715012219097,13.70839376527387,8.005036259164322
Allies-Clos d'Or,38100,3,avant 1946,10.70173925041663,12.802319000555507,7.501159500277753,0.7002898750694382,11.402029125486068,13.702319000555505,8.00144937534719
Arlequin,38100,3,avant 1946,10.914806177147877,13.086408236197169,7.643204118098584,0.7716020590492924,11.68640823619717,14.058010295246461,8.214806177147878
Antiquaire - Notre Dame ,38000,3,1946-1970,11.29812613907002,13.597709725530022,7.898750759380013,0.7997917932300022,12.09791793230002,14.497501518760025,8.498542552610015
Berriat-Ampere,38000,3,1946-1970,10.422229744348256,12.527173701690277,7.314831872026061,0.7024900423618445,11.1247197867101,13.329663744052121,7.817285787006236
Centre-ville - Victor Hugo,38000,3,1946-1970,11.280409031626348,13.57605548309887,7.8869393544175646,0.7978232257362609,12.078232257362608,14.47387870883513,8.484762580153825
Championnet-Caserne de Bonne,38000,3,1946-1970,11.291040914148915,13.589050006182006,7.894027276099277,0.7990045460165461,12.090045460165461,14.488054552198554,8.493031822115823
Hoche,38000,3,1946-1970,10.411264581027721,12.513767821256103,7.307509720685147,0.7012516201141912,11.112516201141911,13.315019441370294,7.808761340799338
Ile Verte,38000,3,1946-1970,11.286433252781386,13.58354983977121,7.8913497609694785,0.7991496821677467,12.08558293494913,14.482699521938958,8.48931666579156
Mutualité,38000,3,1946-1970,11.288746815213626,13.586269253528144,7.892567314943556,0.7988653763589666,12.087612191572592,14.485134629887112,8.491224376899108
