conseil_de_quartier,prop_at_flood_risk,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
REUNION - PERE LACHAISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAINT BLAISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PEREIRE - MALESHERBES,0.016946351188894166,0.016946351188894166,0.0,0.0,0.12907041632487604,0.016946351188894166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
REPUBLIQUE - SAINT-AMBROISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PERNETY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EUROPE,0.060998404631722375,0.060998404631722375,0.0,0.0,0.2393273892894565,0.060998404631722375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GROS CAILLOU,0.48512189045124393,0.48512189045124393,0.0,0.0,0.4997785928351225,0.48512189045124393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
GRANDES CARRIERES - CLICHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAIRIE,0.2831118476246696,0.2831118476246696,0.0,0.0,0.45051029883812366,0.2831118476246696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SEINE,0.6537404896641617,0.6537404896641617,1.0,1.0,0.47577711361290154,-0.34625951033583835,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
MONNAIE,0.6428864310417385,0.6428864310417385,1.0,1.0,0.4791486907257021,-0.3571135689582615,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
BASTILLE - POPINCOURT,0.6958641242659782,0.6958641242659782,1.0,1.0,0.4600404817247298,-0.3041358757340218,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
BELLEVILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AMANDIERS - MENILMONTANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BERCY,0.5581599690058986,0.5581599690058986,1.0,1.0,0.4966058980773717,-0.4418400309941014,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
ECOLE MILITAIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BATIGNOLLES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MONCEAU,0.011865426562559985,0.011865426562559985,0.0,0.0,0.10828036855796383,0.011865426562559985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANVERS - MONTHOLON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MOUTON - DUVERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VAL DE GRACE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
