code_postal,rooms,epoque,furnished,ref,refmaj,refmin
75011,3,1946-1970,non-meuble,20.927195800446082,25.123684934836703,14.634221830316369
75012,3,1946-1970,non-meuble,19.938068640949503,23.901380090420346,13.974773404704155
75013,3,1946-1970,non-meuble,19.66372819099083,23.582740834615993,13.755711525158702
75014,3,1946-1970,non-meuble,20.994214612249127,25.193885913700562,14.694754009857409
75015,3,1946-1970,non-meuble,21.874719414623826,26.22007348697232,15.292008839189798
75016,3,1946-1970,non-meuble,25.24729230372263,30.256756459751657,17.633116954412532
75017,3,1946-1970,non-meuble,23.042201984538178,27.645221900372416,16.13707374654316
75018,3,1946-1970,non-meuble,19.336742983640992,23.183126070805137,13.535340158449024
75019,3,1946-1970,non-meuble,18.078459859591675,21.674188586516472,12.644464096295499
75020,3,1946-1970,non-meuble,18.638213137032405,22.35400761029385,13.041455024858594
75116,3,1946-1970,non-meuble,25.24729230372263,30.256756459751657,17.633116954412532
75001,3,1971-1990,meuble,26.81969439002424,32.177242034153345,18.806010813297814
75002,3,1971-1990,meuble,28.87714925528972,34.681137695461096,20.211679690896748
75003,3,1971-1990,meuble,29.294779898158986,35.19369928041003,20.496346112282474
75004,3,1971-1990,meuble,27.68283582130852,33.21530780246595,19.39737985895684
75005,3,1971-1990,meuble,28.322315494366315,34.001606256437064,19.80629766984379
75006,3,1971-1990,meuble,29.219716383485345,35.059739650135974,20.47980165804937
75007,3,1971-1990,meuble,32.39433418579,38.893184779011825,22.696036879317806
75008,3,1971-1990,meuble,28.10853382370028,33.722473460755154,19.702919265803647
75009,3,1971-1990,meuble,26.126038590956657,31.376270555251555,18.325684377952147
75010,3,1971-1990,meuble,24.304238028632675,29.19478283462528,17.016866330001033
75011,3,1971-1990,meuble,24.492589981718726,29.382171426250483,17.109994776602907
75012,3,1971-1990,meuble,24.128269010212563,28.94498028290144,16.87909524910898
75013,3,1971-1990,meuble,23.090387024418334,27.72892465970171,16.162475217583467
75014,3,1971-1990,meuble,24.752838083072746,29.71311031020647,17.324556430968176
75015,3,1971-1990,meuble,26.43560926376555,31.743497866316805,18.50904793194666
75016,3,1971-1990,meuble,28.681804939701458,34.4303521394834,20.089456180904804
75017,3,1971-1990,meuble,26.201972674493703,31.457146610310584,18.34399337959468
75018,3,1971-1990,meuble,24.095186917474397,28.93872581348343,16.84113896109122
