cq,rooms,epoque,furnished,ref,refmaj,refmin
ECOLE MILITAIRE,1,inf1946,non-meuble,33.399913217769154,40.099894467873064,23.399937858988483
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,1,inf1946,non-meuble,28.000063900267975,33.60007588156822,19.600043931434232
BATIGNOLLES,1,inf1946,non-meuble,30.0939935411832,36.076325762281755,21.02933018562512
MONCEAU,1,inf1946,non-meuble,29.695639081336964,35.6347668779615,20.834773548988508
ANVERS - MONTHOLON,1,inf1946,non-meuble,31.099960008136996,37.29995226777641,21.799971618677866
MOUTON - DUVERNET,1,inf1946,non-meuble,30.4326619911286,36.48628956012485,21.279034570393414
VAL DE GRACE,1,inf1946,non-meuble,32.89862659861762,39.49832123242644,22.999034270094647
DAUPHINE,1,inf1946,non-meuble,29.5,35.4,20.7
SECRETAN,1,inf1946,non-meuble,26.222022766413012,31.50642676990436,18.381349121821174
JARDIN DES PLANTES,1,inf1946,non-meuble,30.20095606985429,36.201168358177746,21.100672975252277
CAMBRONNE - GARIBALDI,1,inf1946,non-meuble,30.20004493940257,36.20005791931975,21.10003474309763
HALLES - BEAUBOURG - MONTORGUEIL,1,inf1946,non-meuble,32.26713833470657,38.71991609728348,22.5879716908412
FAUBOURG MONTMARTRE,1,1946-1970,meuble,33.8645669778571,40.6082572016356,23.66699322728016
CLIGNANCOURT - JULES JOFFRIN,1,1946-1970,meuble,30.3,36.4,21.2
GOUTTE D'OR - CHATEAU ROUGE,1,1946-1970,meuble,29.57810315491622,35.48121910502448,20.674982953113236
LEGENDRE - LEVIS,1,1946-1970,meuble,31.20233010816566,37.472009607562214,21.870841812899016
CHAMPERRET - BERTHIER,1,1946-1970,meuble,32.37499366569147,38.870184755247514,22.682687922401787
HOCHE - FRIEDLAND,1,1946-1970,meuble,36.8997262149334,44.29967145792008,25.799810507435172
MUETTE SUD,1,1946-1970,meuble,33.899412521622594,40.699298816130195,23.699602030776592
PASTEUR - MONTPARNASSE,1,1946-1970,meuble,32.39997070544132,38.899965040981535,22.69997832664114
GRANGE AUX BELLES - TERRAGE,1,1946-1970,meuble,29.20024839050585,35.00029829301617,20.400174657048254
