seloger_quartier,code_postal,rooms,epoque,furnished,ref,refmaj,refmin
Dupleix-Motte Picquet,75015,1,inf1946,non-meuble,29.410906877933687,35.31307521715177,20.60762177818493
Emeriau-Zola,75015,1,inf1946,non-meuble,29.4,35.3,20.6
Georges Brassens,75015,1,inf1946,non-meuble,28.306688550814723,34.00792443532572,19.80470480368769
Pasteur Montparnasse,75015,1,inf1946,non-meuble,30.201273967049133,36.20159245881142,21.10095547528685
Saint Lambert,75015,1,inf1946,non-meuble,28.30371354659023,34.00438873687936,19.80270076115653
Seine et Berges,75015,1,inf1946,non-meuble,29.443757878837577,35.350225040648255,20.634057136121555
Vaugirard-Parc des Expositions,75015,1,inf1946,non-meuble,28.896680789153198,34.70516820536287,20.23394966483869
Violet Commerce,75015,1,inf1946,non-meuble,29.382513748097413,35.27926543642801,20.587158538234043
Auteuil Nord,75016,1,inf1946,non-meuble,29.40048357499075,35.30048357499075,20.60048357499075
Auteuil Sud,75016,1,inf1946,non-meuble,29.4,35.3,20.6
Bois de Boulogne,75016,1,inf1946,non-meuble,29.4614261026086,35.361525747366514,20.66112716833488
Chaillot,75016,1,inf1946,non-meuble,29.52595900568484,35.43107596638536,20.717729031907968
Muette Nord,75016,1,inf1946,non-meuble,29.5,35.4,20.7
Muette Sud,75016,1,inf1946,non-meuble,29.49937682111986,35.39937682111986,20.69937682111986
Porte Dauphine,75016,1,inf1946,non-meuble,29.5,35.4,20.7
Batignolles-Cardinet,75017,1,inf1946,non-meuble,30.11550188064486,36.101196967168036,21.043446026845608
Champerret-Berthier,75017,1,inf1946,non-meuble,30.19929765150553,36.19919731600633,21.099598658003163
Clichy-Batignolles,75017,1,inf1946,non-meuble,30.198400004925812,36.19813333908012,21.09893333661721
Courcelles-Wagram,75017,1,inf1946,non-meuble,30.220634543886163,36.225046756703165,21.11480136631443
Epinettes-Bessières,75017,1,inf1946,non-meuble,29.605826914650134,35.50679650780785,20.703883050482784
La Fourche-Guy Môquet,75017,1,inf1946,non-meuble,29.588048399360193,35.48580696889171,20.691782769211613
Legendre-Lévis,75017,1,inf1946,non-meuble,30.199102363063595,36.19897412921553,21.099487064607768
Pereire-Malesherbes,75017,1,inf1946,non-meuble,30.2,36.2,21.1
Ternes-Maillot,75017,1,inf1946,non-meuble,30.217695296009772,36.22170565682215,21.113158879450378
