conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
VAL DE GRACE,15.1898195054802,295.35638577082545,45.12404142928647,36.9845715927688,0.39229492804168337,0.030493692514060464,17.467442434183294,84.38322952212833,0.3991025977146527,0.0,0.9344349150801909,15.437035834936122,17.22575106907916,66.0036755831899
SAINT - GERMAIN DES PRES,14.806869575662025,252.82967137944496,49.652641028955344,33.33987632077455,0.5870299281494995,6.055859681958674,10.363861477550655,77.55608096414042,0.0,0.0,6.31590778057273,0.0,25.152796471093392,68.53129574833387
BEL - AIR NORD,13.959616852279757,322.2123192379844,31.567556511481104,43.39146262501435,0.6084883570247654,0.05399242542727075,24.379348939992976,79.12810585459097,0.0,0.0,1.3639191859799955,30.253754448471327,26.367569076250145,42.01475728929853
AUTEUIL SUD,13.416847469010781,658.0150677469779,29.569699330004614,40.06951953687746,1.0246696576562648,6.1384951844176285,23.19746686252105,74.71494776083887,1.7087917542019069,0.21927752509271412,7.913116174004708,21.57185311041882,36.82696142671682,31.76000000956502
PONT DE FLANDRE,15.11980877165185,583.2426650738107,24.895782582843644,45.50772985878493,0.7791083932789139,5.719065476978037,23.09619455491103,66.01491511185839,0.0,0.0,8.361547415246802,18.559627065519646,56.416432691199425,16.66239282803413
SAINT - PHILIPPE DU ROULE,17.150471551723513,361.7003205994017,54.91252194996732,35.3198347299293,0.4856198868725687,0.0430925496883508,9.240275629719017,80.3097537671265,0.0,0.0,0.0,0.0,19.678454594326407,80.32154540567359
TERNES - MAILLOT,16.1807236130941,509.7332982126804,38.58373560408334,44.38291181209518,0.7554852716160464,0.06703964867582664,16.211002021648582,73.63141121405562,0.8346062350436221,0.0,2.468612535950118,8.960756030237697,31.448099978132607,56.28792522063594
FAUBOURG MONTMARTRE,17.104914412654118,411.35971304661916,60.58657084386794,33.685230621485225,0.473046351676772,0.04197680936380912,5.212464366166221,48.000373194702846,0.0,0.0,0.0,0.0,16.14816471795801,83.85183528204199
CLIGNANCOURT - JULES JOFFRIN,15.49167329049311,246.36367641585875,49.5218125436031,39.33226032296604,0.45685673005114913,0.040540187649590026,10.649159941606017,69.35852931818364,0.5633502554395599,0.28304797493168665,0.5929591659489792,1.8623287623862672,18.94566489844386,77.75264894284965
GOUTTE D'OR - CHATEAU ROUGE,14.830084750717885,219.70262801644552,47.06762535835765,42.07235493213372,0.5011402337754413,0.04446978183672857,10.313523153911236,72.5581092838335,0.0,0.0,0.8104137913068482,1.3182758955342695,26.46072625934517,71.41058405381374
LEGENDRE - LEVIS,15.976545666803759,235.50038198256271,52.602209548937225,37.55612036655102,0.4840688482593311,0.04295491486260276,9.313775317308226,71.94509228535777,0.0,0.0,2.338252202849808,0.3845063454207793,16.52112110100106,80.75612035072837
CHAMPERRET - BERTHIER,14.546891218418542,692.0503268010223,25.83987433482905,47.87837399778158,0.8256062964775992,0.07326199217889959,25.38298439028002,70.6110678305114,0.0,0.0,9.677552167486429,18.093933551102403,43.40263421736811,28.825880064043055
HOCHE - FRIEDLAND,17.424975416831764,334.5509824897057,47.98751950367001,38.21533469047887,0.4971402403694072,0.044114833616397904,13.255651143223359,80.83475017645927,0.0,0.0,1.96060597182804,3.322681744991032,19.376904474384062,75.33980780879689
MUETTE NORD,14.381294676677914,376.21012145655783,36.00212238215661,35.001249746840415,0.4801542610736574,0.9925040730072189,27.523865816455622,79.33299730372946,1.0006211526505795,0.0,12.14336000046085,11.985180679653155,24.09441150316271,50.7764266640727
PORTE DES LILAS,13.769800273681088,292.9061948380171,25.710898003882573,35.51477465013742,1.4920874853230222,0.04910775818760626,37.23369732677514,72.96514706806057,0.0,0.0,12.333048520004551,33.05338900877647,23.837171261886567,30.776391209332413
