seloger_quartier,code_postal,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
Vallée de Fécamp,75012,0.39749716838305005,0.7598080023767249,17.49089353785603,43.67101060983805,6.25807677794995,50.070912612212005,6.074387580785266,1587.7886500474597,0.1644270966854079,14.957597700920246,9.359127373827409,14.394866432372405,1.8612172251078687,2.6804178780493633,1.4362143911922025,2.6212311217185476,2.665320174675769,1.8669767844649159,5.977849494349433,7.153528080859233,16630.98076877471,666.8516488792311
Bièvres Sud Tolbiac,75013,0.5567854819778202,0.6729254318342178,14.924125557411966,55.56294690045134,8.901450257101386,35.53560284244726,5.397589831277925,1589.4821698317955,0.18014002264485393,10.227367826815794,6.9645452565233334,10.395662378986831,1.3763127603329728,2.032454137779376,1.2631151472123945,2.1555627661763292,2.1240513334017943,1.591340948253357,4.671882045324743,5.8709550478314805,26664.65558003779,757.5025512133012
Buttes Aux Cailles-Glacière,75013,0.3871356578667535,0.8188806349505012,17.44356989303241,43.96247539619296,3.9552960561554373,52.08222854765159,6.057524918040125,1595.604028525021,0.16486811208928623,17.44194062274059,9.25447490615319,14.536521326401317,2.0179971328655175,2.6721872847829777,1.4669947600413815,2.832249112630378,2.7123289726749022,1.7662411826600302,6.157179177689876,7.310819267965311,18239.906730510687,697.4817326626863
Croulebarbe,75013,0.43895804601753313,0.7704901688060397,16.691246264902507,53.87486317086016,2.543517813380197,43.58161901575966,6.032187354519749,1559.867393010458,0.16900165561945354,12.017108725520284,7.772366070955436,12.65539566547234,1.580339077192051,2.5065287125848594,1.1759771178341758,2.5177896709293663,2.461130690424815,1.4934196746569426,5.262844907611086,6.472340036011124,25222.711750260078,964.5678456023888
Dunois-Bibliothèque-Jeanne-d'Arc,75013,0.3817266167354384,1.109147752527609,26.092495035573023,38.85057551162429,10.324111934827961,50.82531255354773,5.921674312536341,1601.7012309296304,0.17835891230962997,7.6806902987729035,9.47984335492635,15.158567829573908,2.0181912491779768,2.0152627072445495,1.2513693320951882,2.6822666325086355,2.0375355729399454,1.5245667703710553,5.284823288517715,6.244368975819636,27062.46321484448,682.26736848109
Nationale-Deux Moulins,75013,0.505809061315276,0.8087049987223974,19.526087480638164,66.65720524120357,3.4110969282658155,29.931697830530627,5.5734220639394145,1520.374256967104,0.1838906812432253,6.8518049873801194,5.658583670491399,10.551659792590353,1.2115809466114134,2.4768196972899013,1.1435514721219695,2.1358395059130864,2.442455147824372,1.7458000456902223,4.831952116023284,6.324094699427681,23169.616549524133,671.6817649056826
Olympiades-Choisy,75013,0.48611304810898476,0.6186566485280318,20.08851550603671,50.50297078508244,9.282898437769369,40.21413077714818,5.699142700535227,1541.8776485657397,0.1837432655618501,14.812539038499786,8.24479749084743,11.308547723780546,1.688930306819894,2.186522132761796,1.4644440960294063,2.2057456366249375,2.152479297640659,1.6504911297522105,5.339896535611096,6.008716064017808,33037.440892421124,892.6219879180662
Patay-Masséna,75013,0.43233486154779655,0.7851944219909891,16.906587336672793,44.16684692115159,8.202295855654288,47.630857223194106,5.733272521088842,1603.5275999934574,0.1757795356441653,12.760079861751752,8.995496166194474,13.76863950000778,1.9275222014328317,2.1038022571191304,1.473650117988984,2.530838392577292,2.030303340279229,1.6559046307742453,5.504974576540946,6.217046363630767,19320.724569497805,590.9475025678494
Salpêtrière-Austerlitz,75013,0.44233355985787737,0.6919681792109724,15.871207821619796,42.39636812022805,11.056513134908986,46.547118744862985,5.718152548788352,1625.3737688465744,0.1753541255479934,14.105229642177582,8.762233984398385,12.664188704278654,1.7721996930485084,2.072716532249052,1.189788927981767,2.456210887148278,2.0691340373669576,1.6046446911327683,5.034705153279328,6.129989615648002,14686.515668113805,610.9158806394042
Didot-Porte de Vanves,75014,0.49371420786125,0.6757813558085561,17.158569715772323,55.807592923990136,4.179149225611845,40.013257850398034,5.895866347248272,1565.4587985654134,0.17263473565841814,12.229220464902454,7.94020441996738,11.70823077714659,1.6743702805102583,2.356766078220007,1.300310950234394,2.4221432494426383,2.3585675340589427,1.77829558806046,5.331447308964659,6.559006371562042,22837.594023558362,810.8835052031787
