conseil_de_quartier,rooms,epoque,furnished,housingType,ref,refmaj,refmin
GAMBETTA,1,inf1946,non-meuble,appartement,26.696890104847792,32.076254000854554,18.69790321959288
SAINT - LAMBERT,1,inf1946,non-meuble,appartement,28.4703834236263,34.197286227177145,19.91657841584205
BOIS DE BOULOGNE,1,inf1946,non-meuble,appartement,29.4601580790849,35.36015808046213,20.66015807495321
NATION - PICPUS,1,inf1946,non-meuble,appartement,27.999976553199392,33.5999722901458,19.599984013546106
PLAINE LAGNY,1,inf1946,non-meuble,appartement,27.299857095271562,32.79982487408923,19.09990239327938
DIDOT - PORTE DE VANVES,1,inf1946,non-meuble,appartement,30.999980455402014,37.19997611742123,21.699985733100586
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,1,inf1946,non-meuble,appartement,30.99997675354802,37.199971274880205,21.699984058438442
CHAILLOT,1,inf1946,non-meuble,appartement,29.50009917715284,35.40011887792862,20.70006785676564
MARAIS - ARCHIVES,1,inf1946,non-meuble,appartement,33.175173817001976,39.82520542009324,23.200126412365073
AMIRAUX - SIMPLON - POISSONNIERS,1,inf1946,non-meuble,appartement,28.85168221354327,34.61135596024579,20.18551497719946
PIGALLE - MARTYRS,1,inf1946,non-meuble,appartement,31.27535352580723,37.51163366697143,21.92093331406092
CITROEN - BOUCICAUT,1,inf1946,non-meuble,appartement,29.4,35.3,20.6
SAINT - GERMAIN DES PRES,1,inf1946,non-meuble,appartement,33.99989863912653,40.79988174564761,23.799932426084354
BEL - AIR NORD,1,inf1946,non-meuble,appartement,25.800076923119377,31.000091426109673,18.100052016774235
AUTEUIL SUD,1,inf1946,non-meuble,appartement,29.4,35.3,20.6
PONT DE FLANDRE,1,inf1946,non-meuble,appartement,27.299227178813517,32.799064479616355,19.099471227609246
